Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2012-01-03,12.359180450439453,12.397349731457963,12.292160101263935,12.304182048440346,302220800
2012-01-04,12.425600051879883,12.46286808917538,12.30057500786009,12.322213710853296,260022000
2012-01-05,12.563553810119629,12.579181545225902,12.40246286304358,12.470987187084512,271269600
2012-01-06,12.6948881149292,12.705406919441883,12.599316024305368,12.615845803549114,318292800
2012-01-09,12.674752235412598,12.855678569067754,12.663331382986955,12.78805710709146,394024400
2012-01-10,12.720132827758789,12.803082670208203,12.667838152510253,12.800377330435593,258196400
2012-01-11,12.699394226074219,12.708410686950591,12.60201885620909,12.70330095785403,215084800
2012-01-12,12.664532661437988,12.709914315308154,12.58518940276345,12.691281096811347,212587200
2012-01-13,12.617048263549805,12.636283384316771,12.582486359721777,12.613743430968096,226021600
2012-01-17,12.76401424407959,12.802784634459831,12.711719560205502,12.748986805456738,242897200
2012-01-18,12.896553039550781,12.907371992486617,12.812100843471576,12.83193625929845,276791200
2012-01-19,12.855677604675293,12.964473033171958,12.818410365246976,12.927807693727948,261738400
2012-01-20,12.631771087646484,12.848161318308208,12.615241311798707,12.84786117089999,413974400
2012-01-23,12.84546184539795,12.876718919899904,12.691885023428492,12.703004927513401,306062400
2012-01-24,12.635082244873047,12.77603681715266,12.609235851716496,12.77603681715266,547638000
2012-01-25,13.42400074005127,13.658122156190776,13.335941978097246,13.657822008760169,958314000
2012-01-26,13.362990379333496,13.48801461553013,13.318209830535869,13.475092226298434,323985200
2012-01-27,13.442636489868164,13.478701535644976,13.337146692427659,13.354276766574971,299709200
2012-01-30,13.614845275878906,13.641593709700787,13.385832777460687,13.39544953361093,379341200
2012-01-31,13.719137191772461,13.772032176132,13.61665205609226,13.69238874952237,391683600
2012-02-01,13.710421562194824,13.794573621415447,13.691188043996103,13.777142593489376,270046000
2012-02-02,13.678262710571289,13.739873202440707,13.644000953128417,13.701704712232168,186796400
2012-02-03,13.815309524536133,13.824927085081002,13.691486642654631,13.743781325583935,286599600
2012-02-06,13.94424057006836,13.974595592607985,13.7708291574636,13.776238232440258,249412800
2012-02-07,14.090302467346191,14.117952947711542,13.962571276339359,13.982708440480748,316223600
2012-02-08,14.326231956481934,14.329536789295217,14.11645291858463,14.14049682122814,407890000
2012-02-09,14.821823120117188,14.929417161291065,14.442839586091878,14.448850560883718,884214800
2012-02-10,14.829337120056152,14.955564386362658,14.68297268600323,14.755404534312854,631302000
2012-02-13,15.10523509979248,15.14220139227703,14.93963554725423,15.012967837256145,517216000
2012-02-14,15.311406135559082,15.314410820569886,15.087202382495942,15.167145943571333,460398400
2012-02-15,14.95706844329834,15.817217313499372,14.933624837826091,15.45566638961488,1506120000
2012-02-16,15.093510627746582,15.174056073509558,14.625266190558207,14.771630597191661,944552000
2012-02-17,15.090808868408203,15.260615302139344,15.036109797996616,15.120561991100173,535805200
2012-02-21,15.473400115966797,15.473400115966797,15.150918102945743,15.233867959516571,605595200
2012-02-22,15.41900634765625,15.492638815599024,15.299690450774246,15.42020854315465,483302400
2012-02-23,15.519682884216309,15.562961909532932,15.312609986495342,15.480312196929873,568027600
2012-02-24,15.700607299804688,15.715333787276062,15.58730403254672,15.618259349971565,415072000
2012-02-27,15.801290512084961,15.883638464966335,15.516376707036333,15.667548319826107,547582000
2012-02-28,16.091310501098633,16.091310501098633,15.8039923549531,15.86740692888632,600387200
2012-02-29,16.30259132385254,16.457973010874536,16.10002709763711,16.276144640688496,952011200
2012-03-01,16.363603591918945,16.47600802865186,16.192294806773734,16.474804228512642,683270000
2012-03-02,16.38494300842285,16.43362950141005,16.304997838386708,16.356692226664777,431712400
2012-03-05,16.023693084716797,16.454067709876355,15.8085033645366,16.39215706769367,809124400
2012-03-06,15.936532020568848,16.039617427491034,15.514571228322925,15.738174671277175,810238800
2012-03-07,15.94946002960205,16.162543919199674,15.727358873180384,16.13309093838423,798520800
2012-03-08,16.28907585144043,16.319129132673186,15.992440142660861,16.069679194117967,516457200
2012-03-09,16.384639739990234,16.4618787525923,16.322727507890583,16.355787063656443,418919200
2012-03-12,16.58991241455078,16.58991241455078,16.439639642712578,16.49914749343356,407282400
2012-03-13,17.073780059814453,17.076184449308343,16.70261005576065,16.756408671953047,690855200
2012-03-14,17.71934700012207,17.873825036908233,17.293177722688895,17.3728227360234,1418844000
2012-03-15,17.59853172302246,18.032814684207445,17.387852241918942,18.020792732848182,1159718000
2012-03-16,17.59882926940918,17.70792565300275,17.371319090029,17.57328302781325,825487600
2012-03-19,18.065567016601562,18.085702573432656,17.703414300510993,17.983519237080497,901236000
2012-03-20,18.211631774902344,18.23988094271681,17.77644692445514,18.017781491173718,816662000
2012-03-21,18.107654571533203,18.322542600406834,18.07489675092175,18.11486774443868,644042000
2012-03-22,18.01268196105957,18.167761947924717,17.89817486263228,17.96579634336204,623870800
2012-03-23,17.91379737854004,18.08660848455116,17.864207239300914,18.047237804676854,430488800
2012-03-26,18.242290496826172,18.247401029541304,17.890056980849756,18.026200352530154,595742000
2012-03-27,18.467695236206055,18.52179239963266,18.21463883687654,18.218245421442752,607129600
2012-03-28,18.562068939208984,18.677176311401652,18.342372198169933,18.58490904108867,655460400
2012-03-29,18.328847885131836,18.53021155191207,18.249806366096383,18.416606522451,608238400
2012-03-30,18.01898956298828,18.349885335068915,17.970601611859212,18.296088308565686,731038000
2012-04-02,18.592424392700195,18.596631273122266,18.04393450130295,18.08751367350428,598351600
2012-04-03,18.913698196411133,19.000556373008,18.709029739780387,18.852988159053655,834559600
2012-04-04,18.76313018798828,18.809714042755505,18.54343345474316,18.764332383048085,572980800
2012-04-05,19.044742584228516,19.074195565949264,18.735784818645683,18.843378888218904,641298000
2012-04-09,19.121374130249023,19.229870215805377,18.79288279386998,18.817827134742682,597536800
2012-04-10,18.887250900268555,19.35489344597345,18.813918621912446,19.232572932901295,889725200
2012-04-11,18.819929122924805,19.140606956421326,18.73397299868878,19.12047139765635,696614800
2012-04-12,18.71684455871582,18.974109459894933,18.6486211998779,18.78386572261739,614336800
2012-04-13,18.189697265625,18.77485331291326,18.138004479480944,18.757120533266008,859644800
2012-04-16,17.435335159301758,18.341467518048756,17.37883360266303,18.334856248467627,1050786800
2012-04-17,18.324037551879883,18.33305321184126,17.188290711158977,17.399572068352448,1025528000
2012-04-18,18.28316307067871,18.64110897914219,18.11395694687162,18.44485427253869,954531200
2012-04-19,17.655031204223633,18.174668353621488,17.567272574732556,18.039123676921246,834719200
2012-04-20,17.220447540283203,17.870820563497134,17.143508668447666,17.77344437748444,1030985200
2012-04-23,17.18198013305664,17.331350874072363,16.728763797090885,17.149222321561187,966529200
2012-04-24,16.838754653930664,17.061455988538825,16.68006817584887,16.908780483495452,1076149200
2012-04-25,18.33306121826172,18.573495507924072,18.21284487596427,18.502567577056436,905777600
2012-04-26,18.263933181762695,18.474012387375936,18.096531104911733,18.461388534740813,536068400
2012-04-27,18.122676849365234,18.21825056481892,18.047542057290293,18.184890851963274,406722400
2012-04-30,17.551040649414062,17.98442304042875,17.521587679790386,17.966390118700033,506144800
2012-05-01,17.495445251464844,17.935137261901986,17.468396665059473,17.578695253309565,610999200
2012-05-02,17.61115264892578,17.653829770517746,17.397166745976467,17.438641672522646,427389200
2012-05-03,17.486125946044922,17.77404601496641,17.440444143625648,17.746997431488328,390549600
2012-05-04,16.988134384155273,17.38214468497054,16.98572999343093,17.343676038448276,529992400
2012-05-07,17.11526107788086,17.214139624735655,16.867313539392534,16.875428758094206,460118400
2012-05-08,17.07619285583496,17.175971858819285,16.792181028583826,17.11826808762505,497252000
2012-05-09,17.106239318847656,17.250501096957926,16.855889060825767,16.941543438253802,480704000
2012-05-10,17.146522521972656,17.307613521492748,17.084011561196785,17.268542967207168,333200000
2012-05-11,17.032007217407227,17.265228213531106,16.961079323153744,16.980614589072708,399546000
2012-05-14,16.77684783935547,17.05605080541252,16.75821461946621,16.907583736195836,352626400
2012-05-15,16.625078201293945,16.927122942542017,16.582401071573543,16.873927807967807,476336000
2012-05-16,16.411996841430664,16.73688334310336,16.260523423538256,16.651529070472893,560896000
2012-05-17,15.932319641113281,16.45466112263317,15.932319641113281,16.388842176390206,717220000
2012-05-18,15.940135955810547,16.331741662088582,15.693692455096823,16.047729977126313,732292400
2012-05-21,16.868812561035156,16.87662763067109,16.050437215938658,16.063963112800852,631106000
2012-05-22,16.73927879333496,17.247494213557967,16.607340720879392,17.117358630796776,694870400
2012-05-23,17.14771842956543,17.215039746798716,16.62687906475487,16.755208971455698,584897600
2012-05-24,16.990232467651367,17.326238726759865,16.86731004276773,17.307303755403545,496230000
2012-05-25,16.8991641998291,17.006157922907708,16.784357013744994,16.968289592445757,328507200
2012-05-29,17.199111938476562,17.25110648023286,16.9899363914381,17.157938758716963,380508800
2012-05-30,17.406482696533203,17.431126890368038,17.027499166788534,17.10684242807793,529429600
2012-05-31,17.36321258544922,17.47651589524371,17.174772862541158,17.45367418168695,491674400
2012-06-01,16.8601016998291,17.210534398373515,16.845977109201236,17.105644867357576,520987600
2012-06-04,16.959278106689453,17.055752257754698,16.484724027164106,16.875427806789286,556995600
2012-06-05,16.91539764404297,17.02479578638648,16.780154716230175,16.86851364307677,388214400
2012-06-06,17.174766540527344,17.246594883378297,16.99564269449433,17.06386605738856,401455600
2012-06-07,17.182580947875977,17.350883443001848,17.145914800659714,17.349983000496668,379766800
2012-06-08,17.4410457611084,17.44886083130431,17.100832594366583,17.17897366592497,347516400
2012-06-11,17.16604995727539,17.686887670129934,17.14981952314867,17.663445671472815,591264800
