Date,Close,High,Low,Open,Volume
2012-03-30,10.12549973,10.34249973,10.09350014,10.2510004,88762000
2012-04-02,9.902500153,9.994999886,9.850000381,9.901000023,128606000
2012-04-03,9.982999802,10.11950016,9.875,9.911999702,100014000
2012-04-04,9.699500084,9.883999825,9.618000031,9.847499847,109138000
2012-04-05,9.719499588,9.80150032,9.677499771,9.677499771,64350000
2012-04-09,9.593500137,9.710000038,9.524999619,9.600999832,62718000
2012-04-10,9.348999977,9.675999641,9.328499794,9.637499809,89100000
2012-04-11,9.398500443,9.598500252,9.339500427,9.481499672,86756000
2012-04-12,9.534500122,9.612999916,9.280500412,9.402999878,80558000
2012-04-13,9.423000336,9.496999741,9.312999725,9.494999886,68636000
2012-04-16,9.274999619,9.473500252,9.182499886,9.450499535,80886000
2012-04-17,9.419500351,9.501999855,9.343500137,9.360500336,56584000
2012-04-18,9.553500175,9.672499657,9.437000275,9.440999985,80038000
2012-04-19,9.555000305,9.727499962,9.487500191,9.646499634,80048000
2012-04-20,9.498999596,9.673999786,9.489999771,9.616999626,64872000
2012-04-23,9.411999702,9.449500084,9.275500298,9.449500084,69620000
2012-04-24,9.516500473,9.534999847,9.325499535,9.434000015,67526000
2012-04-25,9.720999718,9.739999771,9.579999924,9.583499908,79102000
2012-05-01,11.50199986,11.64850044,11.42000008,11.47000027,135098000
2012-05-02,11.51249981,11.57199955,11.36999989,11.39099979,91868000
2012-05-03,11.47249985,11.62650013,11.40149975,11.48700047,81110000
2012-05-04,11.19950008,11.48600006,11.18700027,11.39000034,91704000
2012-05-07,11.25800037,11.34350014,11.11450005,11.11800003,66286000
2012-05-08,11.19499969,11.26949978,10.90999985,11.15750027,90448000
2012-05-09,11.14900017,11.28899956,11.00800037,11.02950001,74240000
2012-05-10,11.33450031,11.45400047,11.09749985,11.19550037,92968000
2012-05-11,11.38399982,11.5340004,11.28649998,11.29749966,83872000
2012-05-14,11.14649963,11.36450005,11.12549973,11.27999973,61932000
2012-05-15,11.21949959,11.53050041,11.14999962,11.32499981,114274000
2012-05-16,11.20300007,11.39999962,11.125,11.25,105236000
2012-05-17,10.91800022,11.30000019,10.90450001,11.25249958,90110000
2012-05-18,10.69250011,10.98149967,10.64050007,10.97049999,104634000
2012-05-21,10.90550041,10.9989996,10.64099979,10.70149994,71596000
2012-05-22,10.76650047,10.94349957,10.69799995,10.91549969,74662000
2012-05-23,10.86400032,10.87749958,10.55900002,10.73550034,84876000
2012-05-24,10.76200008,10.88300037,10.63500023,10.84899998,62822000
2012-05-25,10.64449978,10.79899979,10.61100006,10.74950027,43428000
2012-05-29,10.73750019,10.82750034,10.61450005,10.71500015,53878000
2012-05-30,10.46150017,10.64900017,10.38749981,10.60700035,81564000
2012-05-31,10.64550018,10.68949986,10.35550022,10.47399998,98880000
2012-06-01,10.41100025,10.5614996,10.36499977,10.42199993,79030000
2012-06-04,10.72850037,10.76749992,10.31849957,10.36999989,85992000
2012-06-05,10.66049957,10.84300041,10.55799961,10.69250011,70878000
2012-06-06,10.88199997,10.92000008,10.72599983,10.73149967,54202000
2012-06-07,10.93999958,11.07450008,10.90550041,10.98250008,70078000
2012-06-08,10.92399979,10.97099972,10.83300018,10.93050003,57540000
2012-06-11,10.82499981,11.04349995,10.76000023,10.87450027,74982000
2012-06-12,10.8210001,10.89999962,10.72599983,10.88249969,56666000
2012-06-13,10.73649979,10.86900043,10.67599964,10.77600002,46504000
2012-06-14,10.72249985,10.82499981,10.62800026,10.76299953,61218000
2012-06-15,10.91749954,10.96650028,10.72299957,10.76449966,75704000
2012-06-18,11.13300037,11.18799973,10.83650017,10.86400032,67392000
2012-06-19,11.20149994,11.26000023,11.08300018,11.16300011,54332000
2012-06-20,11.15100002,11.23700047,11.04199982,11.22550011,48888000
2012-06-21,11.0284996,11.30150032,11.02600002,11.19200039,56860000
2012-06-22,11.1079998,11.12549973,10.96749973,11.09150028,43750000
2012-06-25,11.00349998,11.0795002,10.89999962,11.01500034,47646000
2012-06-26,11.28050041,11.31949997,11.07250023,11.07250023,75082000
2012-06-27,11.28100014,11.375,11.16499996,11.25049973,55984000
2012-06-28,11.06550026,11.23099995,10.9375,11.1960001,59896000
2012-06-29,11.41749954,11.41749954,11.18550014,11.23499966,72288000
2012-07-02,11.4659996,11.46700001,11.31700039,11.46500015,46614000
2012-07-03,11.47649956,11.47649956,11.37950039,11.45699978,26634000
2012-07-05,11.35299969,11.52499962,11.32649994,11.43099976,53646000
2012-07-06,11.25249958,11.44499969,11.20899963,11.31750011,64064000
2012-07-09,11.25249958,11.30000019,11.17249966,11.25,38440000
2012-07-10,10.97500038,11.35700035,10.91399956,11.3125,59642000
2012-07-11,10.91849995,11.08699989,10.7670002,10.94750023,54694000
2012-07-12,10.76799965,10.86499977,10.63049984,10.83049965,52324000
2012-07-13,10.91950035,10.96549988,10.69400024,10.78149986,44438000
2012-07-16,10.80049992,10.91549969,10.72299957,10.82999992,40084000
2012-07-17,10.8465004,10.89700031,10.69799995,10.87250042,39740000
2012-07-18,10.87349987,10.93350029,10.78549957,10.80749989,41860000
2012-07-19,11.30850029,11.375,11.03450012,11.03649998,108988000
2012-07-20,11.41450024,11.46949959,11.26449966,11.26799965,83400000
2012-07-23,11.30049992,11.32900047,11.07699966,11.23600006,110302000
2012-07-24,11.15200043,11.33049965,11.0614996,11.3135004,100174000
2012-07-25,10.85249996,11.125,10.7954998,11.10000038,72934000
2012-07-26,11.00049973,11.07250023,10.74750042,11.0,138748000
2012-07-30,11.80449963,12.0369997,11.70349979,11.85000038,74728000
2012-07-31,11.66499996,11.81499958,11.58049965,11.75500011,69072000
2012-08-01,11.60449982,11.71899986,11.53499985,11.70699978,50876000
